SIGNED_HIGHWAY_RDBD_ID,FISCAL_YEAR,RESPONSIBLE_DISTRICT,BEG_REF_MARKER_NBR,BEG_REF_MARKER_DISP,END_REF_MARKER_NBR,END_REF_MARKER_DISP,DISTRESS_SCORE,CONDITION_SCORE,RIDE_SCORE,ACP_PATCHING_PCT,ACP_FAILURE_QTY,ACP_BLOCK_CRACKING_PCT,ACP_ALLIGATOR_CRACKING_PCT,ACP_LONGITUDE_CRACKING_PCT,ACP_TRANSVERSE_CRACKING_QTY,ACP_RAVELING_CODE,ACP_FLUSHING_CODE,ACP_RUT_AUTO_SHALLOW_AVG_PCT,ACP_RUT_AUTO_DEEP_AVG_PCT,ACP_RUT_AUTO_SEVERE_AVG_PCT,ACP_RUT_AUTO_FAILURE_AVG_PCT,IRI_LEFT_SCORE,IRI_RIGHT_SCORE,secionID,COUNTY_NBR,RESPONSIBLE_MAINT_SECT_ID,PMIS_HIGHWAY_SYSTEM,PVMNT_TYPE_BROAD_CODE,CURRENT_18KIP_MEAS,AADT_CURRENT
BF1960AK,2011,12,0000,0,0684,0,100,71,2.7,0,0,0,0,0,0,0,0,0,0,0,0,149,170,1,102,10,5,1,1804,10600
BF1960AK,2011,12,0684,0,0684,0.6,49,49,3.7,0,0,52,7,28,2,0,0,0,0,0,0,86,113,2,102,10,5,1,1804,10600
BF1960AK,2011,12,0684,0.6,0684,1.1,41,41,3.7,2,0,66,13,25,2,0,0,0,0,0,0,84,113,3,102,10,5,1,1804,10600
BF1960AK,2011,12,0684,1.1,0684,1.6,44,44,3.6,0,0,43,12,42,2,0,0,0,0,0,0,89,119,4,102,10,5,1,3828,19100
BF1960AK,2011,12,0684,1.6,0686,0,48,48,3.6,0,0,95,6,0,0,0,0,0,0,0,0,79,125,5,102,10,5,1,3828,19100
BF1960AK,2011,12,0686,0,0686,0.5,29,27,3.1,27,0,52,14,29,1,0,0,0,0,0,0,116,161,6,102,10,5,1,3828,19100
BF1960AK,2011,12,0686,0.5,0686,1,55,23,2.2,3,0,8,13,14,5,0,0,0,0,0,0,218,204,7,102,10,5,1,3828,19100
BF1960AK,2011,12,0686,1,0686,1.5,38,30,2.8,5,0,17,23,78,3,0,0,0,0,0,0,179,126,8,102,10,5,1,3924,17100
BF1960AK,2011,12,0686,1.5,0688,0,44,44,3.4,0,0,11,32,30,4,0,0,0,0,0,0,96,128,9,102,10,5,1,2520,11900
BF1960AK,2011,12,0688,0,0688,0.3,71,71,3.4,0,0,0,12,48,1,0,0,0,0,0,0,114,127,10,102,10,5,1,2520,11900
